,Unnamed: 0,surname,ethnicity
275,359,aafjes,dutch
276,360,aaij,dutch
277,361,aakster,dutch
278,362,aaldenberg,dutch
279,363,aalders,dutch
280,364,aalfs,dutch
281,365,aalmers,dutch
282,366,aaltink,dutch
283,367,aarden,dutch
284,368,aarens,dutch
285,369,aarle,dutch
286,370,aarse,dutch
287,371,aarts,dutch
288,372,aartsen,dutch
289,373,abbes,dutch
290,374,abbing,dutch
291,375,abbingh,dutch
292,376,abbink,dutch
293,377,abelen,dutch
294,378,abels,dutch
295,379,aben,dutch
296,380,abspoel,dutch
297,381,achterkamp,dutch
298,382,achterop,dutch
299,383,achthoven,dutch
300,384,addens,dutch
301,385,addicks,dutch
302,386,admiraal,dutch
303,387,adolfs,dutch
304,388,adriaans,dutch
305,389,adriaansen,dutch
306,390,adrichem,dutch
307,391,aerssens,dutch
308,392,agthoven,dutch
309,393,akker,dutch
310,394,akkerman,dutch
311,395,akkermans,dutch
312,396,akkersdijk,dutch
313,397,alberda,dutch
314,398,alberdingk,dutch
315,399,alberink,dutch
316,400,albers,dutch
317,401,albring,dutch
318,402,albronda,dutch
319,403,aldenberg,dutch
320,404,aldenkamp,dutch
321,405,alderliesten,dutch
322,406,alders,dutch
323,407,aldershof,dutch
324,408,alferink,dutch
325,409,alfons,dutch
326,410,aling,dutch
327,411,alink,dutch
328,412,alles,dutch
329,413,altena,dutch
330,414,althuis,dutch
331,415,alting,dutch
332,416,altink,dutch
333,417,amsing,dutch
334,418,ananias,dutch
335,419,andela,dutch
336,420,andries,dutch
337,421,andriessen,dutch
338,422,andringa,dutch
339,423,angenent,dutch
340,424,anholts,dutch
341,425,annevelink,dutch
342,426,antonise,dutch
343,427,apeldoorn,dutch
344,428,appeldoorn,dutch
345,429,appelhof,dutch
346,430,appelo,dutch
347,431,apperlo,dutch
348,432,arbeid,dutch
349,433,arbeider,dutch
350,434,arendonk,dutch
351,435,arends,dutch
352,436,arendsen,dutch
353,437,arents,dutch
354,438,arentz,dutch
355,439,ariesen,dutch
356,440,arissen,dutch
357,441,arkes,dutch
358,442,arntz,dutch
359,443,arntzen,dutch
360,444,arntzenius,dutch
361,445,arts,dutch
362,446,artz,dutch
363,447,arzt,dutch
364,448,asjes,dutch
365,449,askes,dutch
366,450,asselman,dutch
367,451,assenberg,dutch
368,452,assendorp,dutch
369,453,assies,dutch
370,454,assink,dutch
371,455,aukes,dutch
372,456,averesch,dutch
373,457,aveskamp,dutch
374,458,baaiman,dutch
375,459,baak,dutch
376,460,baanders,dutch
377,461,baar,dutch
378,462,baardwijk,dutch
379,463,baars,dutch
380,464,baart,dutch
381,465,baas,dutch
382,466,bakhuizen,dutch
383,467,bakker,dutch
384,468,barends,dutch
385,469,beulen,dutch
386,470,beulens,dutch
387,471,beumer,dutch
388,472,beumers,dutch
389,473,bezuidenhout,dutch
390,474,boelens,dutch
391,475,boels,dutch
392,476,boer,dutch
393,477,boerefijn,dutch
394,478,borst,dutch
395,479,both,dutch
396,480,bothe,dutch
397,481,bouwmeester,dutch
398,482,braam,dutch
399,483,bul,dutch
400,484,bulle,dutch
401,485,bullens,dutch
402,486,bunschoten,dutch
403,487,ceelen,dutch
404,488,claasen,dutch
405,489,claes,dutch
406,490,cloet,dutch
407,491,coeman,dutch
408,492,coemans,dutch
409,493,coenen,dutch
410,494,colijn,dutch
411,495,coolen,dutch
412,496,coumans,dutch
413,497,crusan,dutch
414,498,cruyssen,dutch
415,499,cuijper,dutch
416,500,cuijpers,dutch
417,501,cuyper,dutch
418,502,cuypers,dutch
419,503,daalman,dutch
420,504,daalmans,dutch
421,505,daelman,dutch
422,506,daelmans,dutch
423,507,dahlmans,dutch
424,508,de cloet,dutch
425,509,de groot,dutch
426,510,de haven,dutch
427,511,de jonker,dutch
428,512,de klerk,dutch
429,513,de kloet,dutch
430,514,de lang,dutch
431,515,de lange,dutch
432,516,de smet,dutch
433,517,de snaijer,dutch
434,518,de veen,dutch
435,519,de ven,dutch
436,520,de vries,dutch
437,521,de vroom,dutch
438,522,de vroome,dutch
439,523,de wit,dutch
440,524,de with,dutch
441,525,de witt,dutch
442,526,de witte,dutch
443,527,dierickx,dutch
444,528,dirchs,dutch
445,529,dircks,dutch
446,530,dircksens,dutch
447,531,dirckx,dutch
448,532,dirix,dutch
449,533,dirkse,dutch
450,534,dirkx,dutch
451,535,drees,dutch
452,536,dreesen,dutch
453,537,dreesens,dutch
454,538,dreessen,dutch
455,539,dries,dutch
456,540,driessen,dutch
457,541,eerkens,dutch
458,542,eikenboom,dutch
459,543,elzinga,dutch
460,544,erckens,dutch
461,545,erkens,dutch
462,546,evers,dutch
463,547,flipse,dutch
464,548,flipsen,dutch
465,549,fortuin,dutch
466,550,fortuyn,dutch
467,551,geelen,dutch
468,552,geels,dutch
469,553,gelens,dutch
470,554,goossens,dutch
471,555,haak,dutch
472,556,haanraads,dutch
473,557,haanraadts,dutch
474,558,haanraats,dutch
475,559,haenraets,dutch
476,560,hanraets,dutch
477,561,haumann,dutch
478,562,heeren,dutch
479,563,heijman,dutch
480,564,heijmans,dutch
481,565,heiman,dutch
482,566,heimans,dutch
483,567,hendriks,dutch
484,568,hendrikx,dutch
485,569,hendrix,dutch
486,570,hermans,dutch
487,571,heyman,dutch
488,572,heymans,dutch
489,573,hoedemaeker,dutch
490,574,hoedemaekers,dutch
491,575,hoedemaker,dutch
492,576,hoedemakers,dutch
493,577,hofwegen,dutch
494,578,holtman,dutch
495,579,houben,dutch
496,580,houtkooper,dutch
497,581,houtman,dutch
498,582,jacobse,dutch
499,583,jansens,dutch
500,584,jansing,dutch
501,585,jansingh,dutch
502,586,jansink,dutch
503,587,janssen,dutch
504,588,janssens,dutch
505,589,janzen,dutch
506,590,jonckers,dutch
507,591,jonker,dutch
508,592,jonkers,dutch
509,593,jonkheer,dutch
510,594,joossens,dutch
511,595,joosten,dutch
512,596,kikkert,dutch
513,597,klaasen,dutch
514,598,klerk,dutch
515,599,klerken,dutch
516,600,klerks,dutch
517,601,klerkse,dutch
518,602,klerkx,dutch
519,603,klerx,dutch
520,604,kloet,dutch
521,605,kloeten,dutch
522,606,koeman,dutch
523,607,koemans,dutch
524,608,kolen,dutch
525,609,kolijn,dutch
